student_id,sleep_hours,study_hours,physical_activity_minutes,mood,coffee_intake,screen_time_hours,participated_in_meditation,friend_support,semester,good_well_being,recent_post_title
125,7.9,2.0,45,Tired,2,3.2,0,1,Summer,1,Embracing change in daily life
126,10.3,3.5,30,Happy,2,2.3,0,0,Fall,0,Finding balance with part-time work
127,5.5,3.2,90,Neutral,1,3.0,1,1,Spring,1,Finding joy in small daily routines
128,6.2,2.4,60,Energetic,1,7.1,1,1,Summer,1,Building healthy habits one day at a time
129,7.1,3.1,15,Anxious,1,3.1,1,1,Spring,0,Planning my next travel destination
130,6.2,2.6,15,Happy,3,10.3,1,0,Fall,0,Reflections on my study habits
131,4.7,3.1,30,Happy,2,6.0,0,0,Summer,1,Taking a break from social media
132,7.1,3.7,60,Anxious,1,5.4,0,0,Fall,1,The benefits of journaling
133,5.4,4.6,90,Energetic,1,3.3,0,0,Fall,1,Learning to manage my finances
134,7.7,1.8,15,Happy,3,6.4,0,1,Spring,0,How I stay consistent with my goals
135,5.6,5.1,45,Happy,1,3.8,0,0,Summer,1,Why I take time to disconnect from screens
136,9.3,1.0,30,Neutral,2,5.2,0,0,Fall,0,Exploring mindfulness practices
137,5.8,2.8,90,Energetic,2,10.1,1,1,Fall,1,Trying new study techniques
138,6.5,3.6,60,Happy,2,4.8,0,1,Summer,1,Why I prefer handwritten notes
139,8.2,3.3,60,Energetic,0,7.3,0,0,Fall,1,Reflecting on my goals for the semester
140,5.2,2.4,30,Anxious,3,3.6,0,0,Fall,1,Balancing social life and academics
141,7.3,2.8,30,Tired,3,4.9,0,0,Summer,1,Strategies for effective teamwork
142,9.0,2.5,30,Happy,2,8.5,0,0,Summer,1,Ways I practice mindfulness
143,4.6,2.4,15,Neutral,2,3.7,1,0,Summer,1,Discovering new passions
144,7.3,3.8,60,Anxious,3,8.6,0,0,Summer,0,Trying out a new hobby
145,7.4,3.4,60,Energetic,2,6.4,0,0,Spring,1,Self-care tips I swear by
146,8.2,2.3,90,Anxious,1,3.9,0,0,Summer,1,Exploring local food markets
147,5.1,3.9,90,Happy,2,6.3,1,0,Spring,0,Exploring new hiking trails this weekend
148,5.0,3.3,45,Energetic,2,6.9,0,0,Spring,1,Setting achievable goals for the semester
149,7.8,3.8,60,Tired,1,6.2,0,0,Spring,1,What I've learned from solo travel
150,7.4,3.6,90,Anxious,2,1.9,0,1,Fall,1,Finding inspiration in everyday life
